feature,importance_mean,importance_std
hf_power,0.24000001,0.121228285
sdnn,0.14,0.1979899
lf_hf_ratio,0.06666667,0.0942809
lf_power,0.05333333,0.07542472
pnn50,0.035555556,0.050283153
rmssd,0.033333335,0.04714045
hr_mean,0.028571429,0.040406104
mean_rr,0.012698413,0.017958269
