feature,importance_mean,importance_std
hf_power,0.16955169,0.025868135
lf_hf_ratio,0.16126044,0.020173915
mean_rr,0.14115788,0.028510507
pnn50,0.13595982,0.008781111
hr_mean,0.11092892,0.017707923
rmssd,0.1105412,0.017753866
sdnn,0.10294906,0.014357787
lf_power,0.067650996,0.023383265
